Reactions of gene	Accession-2
3-ISOPROPYLMALDEHYDROG-RXN	CBE89_07850
	CBE89_04560
RXN-16659	CBE89_00925
	CBE89_03105
RXN-15733 // H2PTERIDINEPYROPHOSPHOKIN-RXN	CBE89_02745
	CBE89_13070
	CBE89_11545
	CBE89_13010
	CBE89_04450
	CBE89_04315
RXN-16637 // RXN-12460 // AMINOCYL-TRNA-HYDROLASE-RXN	CBE89_09115
	CBE89_10275
ADOMET-DMK-METHYLTRANSFER-RXN // RXN-9220 // RXN-9191 // RXN-9362 // RXN-9361 // RXN-9205	CBE89_11850
	CBE89_07495
F16BDEPHOS-RXN	CBE89_08895
	CBE89_06405
TRANS-RXN-2	CBE89_01565
	CBE89_08660
	CBE89_00505
	CBE89_04125
3.1.13.3-RXN	CBE89_03565
2OXOGLUTARATEDEH-RXN // 2OXOGLUTDECARB-RXN // RXN0-1147 // RXN-7716 // DIHYDLIPACETRANS-RXN // RXN0-1133	CBE89_04905
RXN-7904 // ACYLCOASYN-RXN // RXN-9644 // RXN-16380	CBE89_08215
PEPTIDYLPROLYL-ISOMERASE-RXN	CBE89_06540
	CBE89_01095
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_10575
RXN-10811	CBE89_12735
	CBE89_06895
	CBE89_05505
	CBE89_08920
	CBE89_00310
ATPSYN-RXN	CBE89_08160
DNA-DIRECTED-RNA-POLYMERASE-RXN	CBE89_07595
5.4.2.10-RXN // RXN-16424 // RXN0-7139	CBE89_11415
	CBE89_04100
	CBE89_09370
THIOESTER-RXN // RXN0-5390	CBE89_03615
	CBE89_03730
	CBE89_05795
	CBE89_04820
	CBE89_06065
	CBE89_09165
	CBE89_13145
	CBE89_08050
	CBE89_01020
	CBE89_10150
ABC-19-RXN	CBE89_08290
3.6.3.41-RXN // TRANS-RXN-397 // TRANS-RXN0-162	CBE89_10995
	CBE89_06355
	CBE89_09075
	CBE89_11885
	CBE89_10055
	CBE89_12670
	CBE89_00365
	CBE89_09340
	CBE89_07370
DXPREDISOM-RXN	CBE89_05660
	CBE89_09180
	CBE89_09275
	CBE89_06930
PABASYN-RXN	CBE89_08950
	CBE89_13280
	CBE89_03180
	CBE89_12255
	CBE89_02865
	CBE89_10100
	CBE89_10435
	CBE89_04510
	CBE89_04250
	CBE89_07250
	CBE89_07100
	CBE89_02415
	CBE89_11625
	CBE89_00610
	CBE89_10965
	CBE89_12095
PEPTIDYLPROLYL-ISOMERASE-RXN	CBE89_09600
GLYCEROL-KIN-RXN	CBE89_02050
	CBE89_12710
	CBE89_07660
AICARTRANSFORM-RXN // IMPCYCLOHYDROLASE-RXN	CBE89_09465
	CBE89_09730
RXN0-4522 // RXN27OU-1 // RXN27OU-6	CBE89_05925
	CBE89_08340
	CBE89_09045
NAD-SYNTH-GLN-RXN // NAD-SYNTH-NH3-RXN	CBE89_03315
PYRUVDEH-RXN // RXN0-1133 // RXN0-1134 // RXN-12583 // RXN-12508 // RXN0-1132 // RXN-21229	CBE89_03000
	CBE89_10940
	CBE89_09665
GLYCOGENSYN-RXN	CBE89_08590
	CBE89_09305
	CBE89_05610
	CBE89_00030
	CBE89_06980
	CBE89_03380
	CBE89_09205
	CBE89_02305
	CBE89_05570
	CBE89_07155
	CBE89_01000
ADENYLOSUCCINATE-SYNTHASE-RXN	CBE89_02485
	CBE89_06790
ALKAPHOSPHA-RXN // RXN-8748	CBE89_07310
	CBE89_07015
	CBE89_05195
	CBE89_12080
RXN27OU-3	CBE89_10720
	CBE89_03260
TRANS-RXN-2	CBE89_01570
PGLYCDEHYDROG-RXN	CBE89_07855
RXN-15025 // RXN0-7078 // RXN-19919 // RXN-19920	CBE89_00510
DCTP-DEAM-RXN // RXN-14118	CBE89_02260
	CBE89_12030
	CBE89_06490
	CBE89_00935
	CBE89_05130
	CBE89_00165
ADDALT-RXN // ADENODEAMIN-RXN	CBE89_10915
	CBE89_05285
	CBE89_03860
	CBE89_10580
	CBE89_06215
RXN-13163 // RXN-8991 // 3-ISOPROPYLMALISOM-RXN	CBE89_07735
	CBE89_02100
LUMAZINESYN-RXN	CBE89_07540
	CBE89_06070
	CBE89_01330
	CBE89_00720
	CBE89_02255
RXN-11578	CBE89_01145
	CBE89_04710
	CBE89_10155
	CBE89_09630
RXN-16637 // RXN-12460 // AMINOCYL-TRNA-HYDROLASE-RXN	CBE89_09160
	CBE89_08545
	CBE89_13115
	CBE89_08495
	CBE89_02560
	CBE89_05665
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_11475
DEPHOSPHOCOAKIN-RXN	CBE89_06740
	CBE89_08860
	CBE89_02355
	CBE89_01715
	CBE89_10895
DNA-DIRECTED-DNA-POLYMERASE-RXN // RXN0-4961 // RXN-20927	CBE89_12900
RXN-14570	CBE89_11355
	CBE89_01790
	CBE89_12975
	CBE89_11735
RXN27OU-3	CBE89_03490
RXN-11322 // GLUTAMIN-RXN // RXN-12590	CBE89_11040
	CBE89_10440
	CBE89_01885
	CBE89_00615
RXN-11813	CBE89_06425
	CBE89_08030
ACYLPHOSPHATASE-RXN	CBE89_05420
	CBE89_03520
	CBE89_00250
3.2.1.48-RXN	CBE89_11185
RXN-18610 // RXN-18607	CBE89_04985
GTPPYPHOSKIN-RXN // GDPPYPHOSKIN-RXN	CBE89_05245
	CBE89_09845
RXN27OU-1	CBE89_05930
ATPSYN-RXN	CBE89_08175
ATPSYN-RXN	CBE89_08165
	CBE89_01255
	CBE89_04415
	CBE89_06455
	CBE89_05470
	CBE89_08260
	CBE89_12640
	CBE89_01650
	CBE89_12835
	CBE89_04790
	CBE89_04685
	CBE89_13135
	CBE89_10820
RXN-4301	CBE89_05260
TDCEACT-RXN	CBE89_03455
3-DEHYDROQUINATE-DEHYDRATASE-RXN	CBE89_06675
	CBE89_03110
	CBE89_13075
6PFRUCTPHOS-RXN	CBE89_07955
RXN0-20	CBE89_05350
	CBE89_07220
	CBE89_06855
	CBE89_01470
	CBE89_09565
	CBE89_04170
	CBE89_00245
RXN27OU-3 // RXN27OU-4	CBE89_10725
TRANS-RXN-2	CBE89_01575
	CBE89_07860
	CBE89_00515
	CBE89_12410
	CBE89_08800
DTDPGLUCDEHYDRAT-RXN	CBE89_12480
	CBE89_10585
	CBE89_10030
	CBE89_06220
	CBE89_00315
	CBE89_11420
	CBE89_11825
	CBE89_09015
	CBE89_10845
	CBE89_10795
	CBE89_09250
	CBE89_08270
RXN-11839	CBE89_05800
	CBE89_06075
	CBE89_08055
	CBE89_10160
	CBE89_11970
RXN0-4961 // RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_05160
	CBE89_01290
RXN-14963 // R601-RXN // RXN-14971 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN1YI0-14 // RXN-21393 // RXN-21394 // RXN-15378 // SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	CBE89_12440
	CBE89_03900
	CBE89_04610
	CBE89_06295
	CBE89_07985
RXN-11081	CBE89_00370
	CBE89_12575
H2PTEROATESYNTH-RXN	CBE89_08620
RXN-15878 // RXN0-882	CBE89_05670
	CBE89_12610
	CBE89_06935
GLYOHMETRANS-RXN // RXN0-5234	CBE89_08955
	CBE89_03195
	CBE89_06370
GALACTURIDYLYLTRANS-RXN	CBE89_10650
	CBE89_02870
NACGLCTRANS-RXN // RXN-11029 // RXN-8976 // RXN-11346	CBE89_05095
RXN-21077	CBE89_10105
	CBE89_04350
	CBE89_10445
	CBE89_04640
	CBE89_00620
	CBE89_00940
	CBE89_03825
	CBE89_08445
	CBE89_12715
TRANS-RXN27OU-7	CBE89_07665
	CBE89_05545
RXN0-4522 // RXN27OU-1 // RXN27OU-6	CBE89_05935
TRANS-RXN27OU-24	CBE89_03320
	CBE89_03005
	CBE89_08650
	CBE89_09170
RXN-18684	CBE89_07135
	CBE89_13255
	CBE89_09670
	CBE89_07195
	CBE89_05615
	CBE89_02920
NITRATE-REDUCTASE-NADH-RXN // NITRATE-REDUCTASE-NADPORNOPH-RXN // NITRATE-REDUCTASE-NADPH-RXN // RXN-11236 // RXN0-6369 // RXN0-3501 // RXN-16471 // RXN0-7124 // 1.7.7.2-RXN // NITRATE-REDUCTASE-CYTOCHROME-RXN	CBE89_08250
	CBE89_04720
RXN-6501	CBE89_12135
PREPHENATEDEHYDRAT-RXN	CBE89_02005
	CBE89_01045
	CBE89_13125
PRPPSYN-RXN	CBE89_09090
	CBE89_12915
	CBE89_02490
	CBE89_02620
	CBE89_02185
	CBE89_07405
	CBE89_12245
	CBE89_08990
	CBE89_11320
	CBE89_06160
	CBE89_07060
	CBE89_05200
	CBE89_11700
	CBE89_08505
	CBE89_10730
RXN27OU-5	CBE89_11605
	CBE89_07865
	CBE89_00520
	CBE89_02265
	CBE89_01845
	CBE89_08675
	CBE89_00170
	CBE89_08100
	CBE89_09140
	CBE89_01200
	CBE89_09500
	CBE89_07215
	CBE89_12105
	CBE89_11765
	CBE89_09785
GLYCERONE-KINASE-RXN // 2.7.1.121-RXN // RXN-21080 // RXN0-7169	CBE89_06225
	CBE89_03760
	CBE89_11255
	CBE89_11090
	CBE89_01365
DUTP-PYROP-RXN	CBE89_06325
	CBE89_07740
DIAMINOPIMDECARB-RXN	CBE89_08315
SUPEROX-DISMUT-RXN	CBE89_01960
	CBE89_06080
RXN0-5131	CBE89_00725
	CBE89_10165
	CBE89_13130
	CBE89_09910
3.1.11.2-RXN	CBE89_02565
	CBE89_12770
	CBE89_05675
	CBE89_11480
RXN-8851 // RXN-21298 // RXN-12038 // RXN-12041	CBE89_08615
	CBE89_06745
PHENYLALANINE--TRNA-LIGASE-RXN	CBE89_06820
RXN-14391 // RXN-14390 // RXN-14389	CBE89_02360
RXN0-6727 // RXN-13141 // RXN-13142 // RXN-12752	CBE89_01720
	CBE89_12905
	CBE89_02875
	CBE89_11060
	CBE89_04215
	CBE89_04475
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_10450
TRANS-RXN-2	CBE89_01580
	CBE89_01165
	CBE89_00625
	CBE89_12370
	CBE89_00945
	CBE89_05425
	CBE89_05025
RXN-8348	CBE89_08225
	CBE89_00255
	CBE89_11190
	CBE89_01435
	CBE89_09850
HISTAMINOTRANS-RXN	CBE89_05300
RXN-14570	CBE89_11380
	CBE89_09995
RXN0-5063 // RXN-14480 // RXN-14481	CBE89_05940
	CBE89_03325
	CBE89_11945
	CBE89_06595
DGTPTRIPHYDRO-RXN	CBE89_04420
	CBE89_08510
	CBE89_04825
	CBE89_00040
SUCCDIAMINOPIMDESUCC-RXN	CBE89_08630
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	CBE89_12840
	CBE89_06380
DIHYDROOROTATE-DEHYDROGENASE-RXN // RXN0-6554 // RXN0-6491	CBE89_07275
	CBE89_13150
IGPSYN-RXN // PRAISOM-RXN	CBE89_01270
	CBE89_13080
ADCLY-RXN	CBE89_03115
	CBE89_02750
PEPDEPHOS-RXN // RXN-14207 // RXN-14117 // RXN-14192	CBE89_05355
TRANS-RXN27OU-22	CBE89_13015
RXN-12481 // 4.1.1.32-RXN	CBE89_02165
	CBE89_12755
	CBE89_04320
	CBE89_01475
ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN	CBE89_10280
	CBE89_11855
	CBE89_02205
CYSTEINE--TRNA-LIGASE-RXN	CBE89_03790
FUMHYDR-RXN	CBE89_08900
	CBE89_10735
ACETOLACTREDUCTOISOM-RXN // ACETOOHBUTREDUCTOISOM-RXN	CBE89_07870
	CBE89_00525
	CBE89_08410
	CBE89_03870
5.99.1.3-RXN	CBE89_01100
	CBE89_04180
GLYCERONE-KINASE-RXN	CBE89_06230
	CBE89_06900
RXN-12458 // RXN-14517	CBE89_05510
	CBE89_00320
	CBE89_11425
	CBE89_11585
	CBE89_04615
	CBE89_03620
RXN-18510 // RIBOFLAVINKIN-RXN // FADSYN-RXN // RXN-18511	CBE89_05805
UDPGLUCEPIM-RXN	CBE89_06085
	CBE89_08600
	CBE89_00900
	CBE89_08060
	CBE89_10170
	CBE89_08295
	CBE89_11000
RXN0-947 // RXN-13037	CBE89_04880
NAPHTHOATE-SYN-RXN	CBE89_11890
	CBE89_10060
	CBE89_12675
	CBE89_00375
	CBE89_07110
	CBE89_07375
	CBE89_05270
RXN0-6482 // TRNA-NUCLEOTIDYLTRANSFERASE-RXN // RXN0-6481	CBE89_03415
GMP-SYN-GLUT-RXN // GLUTAMIN-RXN // GMP-SYN-NH3-RXN	CBE89_11290
RXN-17874 // RXN-17877 // 3.4.11.18-RXN // RXN-17873 // RXN-17876 // RXN-17875 // RXN-17878	CBE89_05680
	CBE89_03470
	CBE89_06940
	CBE89_12925
PANTOTHENATE-KIN-RXN	CBE89_08960
	CBE89_03200
4.3.1.17-RXN // RXN-15125	CBE89_06565
	CBE89_00630
TRANS-RXN27OU-1	CBE89_04255
	CBE89_07255
	CBE89_11630
	CBE89_00950
	CBE89_02420
	CBE89_10970
CITSYN-RXN // RXN-21228	CBE89_09605
DTDPGLUCOSEPP-RXN	CBE89_12490
RXN-19301 // DMBPPRIBOSYLTRANS-RXN // RXN-19300 // RXN-19298 // RXN-19295 // RXN-19316 // RXN-19299 // RXN-19306	CBE89_04925
	CBE89_08205
PANTEPADENYLYLTRAN-RXN	CBE89_07670
	CBE89_11990
	CBE89_05945
	CBE89_08350
	CBE89_03330
	CBE89_03010
	CBE89_11830
	CBE89_12330
	CBE89_09675
	CBE89_02120
	CBE89_10865
	CBE89_00045
5-NUCLEOTID-RXN // RXN-14026 // RXN-5841 // RXN-7607 // RXN-7609 // XMPXAN-RXN // RXN-14227 // RXN-14025 // AMP-DEPHOSPHORYLATION-RXN	CBE89_06525
	CBE89_03385
RXN-12019 // 1.8.4.8-RXN	CBE89_02310
	CBE89_01220
	CBE89_04870
3.4.21.89-RXN	CBE89_05575
3.4.21.92-RXN	CBE89_03915
	CBE89_13140
	CBE89_04520
	CBE89_09815
	CBE89_01005
	CBE89_02495
TRANS-RXN27OU-10	CBE89_08245
	CBE89_08005
	CBE89_06795
	CBE89_09765
	CBE89_07315
	CBE89_08500
	CBE89_07025
	CBE89_01935
RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_05205
	CBE89_08725
	CBE89_08555
	CBE89_06385
5.4.99.16-RXN	CBE89_10740
2.7.13.3-RXN	CBE89_01585
ACETOOHBUTSYN-RXN // ACETOLACTSYN-RXN	CBE89_07875
	CBE89_02270
	CBE89_12035
PEPTIDYLPROLYL-ISOMERASE-RXN	CBE89_03875
	CBE89_06495
	CBE89_00175
	CBE89_10920
	CBE89_05135
	CBE89_09690
3.6.3.3-RXN	CBE89_09965
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN // MMUM-RXN	CBE89_10590
	CBE89_04840
	CBE89_06235
RXN-8999	CBE89_04380
	CBE89_00975
	CBE89_01370
	CBE89_04735
	CBE89_13245
GTPPYPHOSKIN-RXN // PPGPPSYN-RXN	CBE89_07745
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // RXN-15635	CBE89_03955
GTP-CYCLOHYDRO-II-RXN // DIOHBUTANONEPSYN-RXN	CBE89_07545
	CBE89_06090
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	CBE89_01335
	CBE89_01025
DTMPKI-RXN	CBE89_10175
ACYLCOASYN-RXN // RXN-9644 // RXN-16380 // RXN-7904	CBE89_12155
	CBE89_04550
	CBE89_08475
TRIOSEPISOMERIZATION-RXN	CBE89_07500
	CBE89_12800
	CBE89_01070
	CBE89_02570
	CBE89_08185
	CBE89_12980
	CBE89_05685
RXN0-1134 // RXN-12583 // RXN-12508	CBE89_04675
DNA-DIRECTED-RNA-POLYMERASE-RXN	CBE89_11485
RXN0-2621	CBE89_06750
	CBE89_08865
	CBE89_02365
	CBE89_01795
	CBE89_01725
	CBE89_12910
2.3.1.128-RXN	CBE89_11360
RXN0-745 // RXN0-746 // RXN0-724 // RXN0-723 // RIBONUCLEOSIDE-TRIP-REDUCT-RXN // 1.17.4.2-RXN // RXN-21262 // RXN-21265 // RXN-21264 // RXN-21263	CBE89_11740
	CBE89_04800
	CBE89_02880
RXN1A0-6303	CBE89_12385
	CBE89_03495
	CBE89_10455
	CBE89_00635
	CBE89_02755
	CBE89_04490
THREONINE--TRNA-LIGASE-RXN	CBE89_06430
	CBE89_03525
URITRANS-RXN	CBE89_05475
HISTAMINOTRANS-RXN	CBE89_00260
	CBE89_11195
	CBE89_05950
	CBE89_12115
	CBE89_03335
	CBE89_04425
	CBE89_02070
	CBE89_06340
3.8.1.11-RXN // RXN-6263 // RXN-6264 // 2-HALOACID-DEHALOGENASE-RXN	CBE89_12645
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN // ACETYLHOMOSER-CYS-RXN // ACSERLY-RXN // RXN-12726	CBE89_11095
	CBE89_01655
	CBE89_00050
ASPARTATEKIN-RXN	CBE89_12845
RXN-8668	CBE89_01965
	CBE89_04700
2.1.1.72-RXN	CBE89_04140
PRIBFAICARPISOM-RXN // PRAISOM-RXN	CBE89_05320
	CBE89_06680
	CBE89_07435
	CBE89_03120
	CBE89_13085
	CBE89_07960
	CBE89_05360
ARGSUCCINSYN-RXN // RXN-10	CBE89_06860
	CBE89_01480
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_10285
	CBE89_09570
	CBE89_06600
TRANS-RXN0-470	CBE89_10745
	CBE89_05230
	CBE89_01590
ACETOOHBUTSYN-RXN // ACETOLACTSYN-RXN	CBE89_07880
	CBE89_00530
	CBE89_08805
	CBE89_07090
	CBE89_09390
	CBE89_09425
KETOACYLCOATHIOL-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-20154 // RXN-20155 // RXN-12565 // RXN-17782 // RXN-14394 // RXN-17778 // RXN-14274 // RXN-14277 // RXN-13617	CBE89_10595
	CBE89_04645
	CBE89_10035
	CBE89_00325
	CBE89_11430
	CBE89_12540
	CBE89_10800
	CBE89_05810
	CBE89_06095
	CBE89_10180
	CBE89_01060
	CBE89_08065
TRANS-RXN27OU-21 // TRANS-RXN27OU-16 // TRANS-RXN-399 // TRANS-RXN27OU-20 // TRANS-RXN0-265	CBE89_07925
RXN-10125 // RXN-10129 // RXN-10128 // PHENOL-2-MONOOXYGENASE-RXN // RXN-10127	CBE89_01295
O-SUCCINYLBENZOATE-COA-LIG-RXN	CBE89_11920
	CBE89_13165
	CBE89_06300
	CBE89_00380
	CBE89_12580
	CBE89_05690
RXN-17363 // RXN-19774	CBE89_07140
RXN-13403 // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // UROGENIIISYN-RXN	CBE89_12065
	CBE89_08965
	CBE89_10655
ABC-63-RXN	CBE89_02885
UDP-NACMUR-ALA-LIG-RXN	CBE89_05100
	CBE89_09010
	CBE89_12430
	CBE89_04355
	CBE89_07810
	CBE89_10460
	CBE89_00640
	CBE89_13170
FORMIMINOGLUTAMASE-RXN	CBE89_08450
	CBE89_02760
	CBE89_03830
	CBE89_03480
	CBE89_12350
RXN0-6515	CBE89_07675
1.4.3.19-RXN // RXN-12614 // RXN-8674 // RXN-8673 // RXN-8672 // RXN-17951	CBE89_05550
	CBE89_05955
RIBONUCLEOSIDE-DIP-REDUCTI-RXN // GDPREDUCT-RXN // RXN0-722 // UDPREDUCT-RXN // ADPREDUCT-RXN // RXN0-747 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-748 // CDPREDUCT-RXN	CBE89_03340
	CBE89_03015
NADPH-DEHYDROGENASE-FLAVIN-RXN // RXN-9510 // FMNREDUCT-RXN // RXN-12444	CBE89_06580
	CBE89_01945
	CBE89_09680
	CBE89_00055
	CBE89_07175
	CBE89_03720
3.1.26.5-RXN // RXN0-6480	CBE89_01130
	CBE89_12225
	CBE89_11665
	CBE89_07410
	CBE89_02500
	CBE89_02625
	CBE89_05280
	CBE89_11325
DEOXYRIBOSE-P-ALD-RXN	CBE89_12415
	CBE89_01980
	CBE89_07065
	CBE89_06165
	CBE89_05210
	CBE89_11025
	CBE89_11705
	CBE89_06395
	CBE89_08380
	CBE89_10750
	CBE89_13160
	CBE89_07885
ASPAMINOTRANS-RXN	CBE89_02275
	CBE89_01850
PROTOPORGENOXI-RXN	CBE89_12040
TRANS-RXN27OU-14	CBE89_00185
RXN-7710 // RXN-7669 // RXN-18777 // RXN-14372 // GLYCOGEN-BRANCH-RXN // RXN-14371	CBE89_08105
CYTOCHROME-C-OXIDASE-RXN // RXN-21237	CBE89_04945
	CBE89_09505
OHACYL-COA-DEHYDROG-RXN // RXN-11662 // RXN-12570 // RXN-20679 // RXN-12490 // RXN-20676 // RXN-14393 // RXN-17777 // RXN-17781	CBE89_10600
	CBE89_01205
	CBE89_09790
	CBE89_06240
RXN0-5131	CBE89_03765
	CBE89_11260
	CBE89_09560
GSADENYLATION-RXN // GSDEADENYLATION-RXN	CBE89_04755
3.6.3.3-RXN	CBE89_01375
	CBE89_07750
	CBE89_01240
	CBE89_06100
RXN0-5131	CBE89_00735
	CBE89_09225
	CBE89_01065
	CBE89_10185
	CBE89_10885
PHOSGLYPHOS-RXN	CBE89_07505
	CBE89_03440
	CBE89_09915
3.5.1.27-RXN // 3.5.1.88-RXN	CBE89_02575
	CBE89_12775
1.8.1.15-RXN	CBE89_05695
	CBE89_08515
	CBE89_11490
RXN0-4261	CBE89_01800
	CBE89_06825
FORMYLTHFGLUSYNTH-RXN // FOLYLPOLYGLUTAMATESYNTH-RXN // RXN-6341 // RXN0-2921 // DIHYDROFOLATESYNTH-RXN	CBE89_03965
	CBE89_02370
GLUCOKIN-RXN	CBE89_04990
	CBE89_01730
2.1.1.63-RXN // RXN-17823 // RXN-17824	CBE89_12930
	CBE89_04160
	CBE89_02890
	CBE89_11200
	CBE89_01085
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_10465
	CBE89_00645
	CBE89_01170
PANTOATE-BETA-ALANINE-LIG-RXN	CBE89_02765
	CBE89_05430
	CBE89_05030
	CBE89_00265
	CBE89_09855
ALARACECAT-RXN	CBE89_11385
	CBE89_01440
	CBE89_10000
	CBE89_05960
	CBE89_04105
	CBE89_11950
	CBE89_12235
	CBE89_06685
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	CBE89_11100
	CBE89_00060
	CBE89_12850
5-FORMYL-THF-CYCLO-LIGASE-RXN	CBE89_09355
RXN0-5398	CBE89_13180
	CBE89_04620
	CBE89_12425
	CBE89_03125
	CBE89_13095
GLYCOPHOSPHORYL-RXN // RXN-9025	CBE89_05365
RXN0-1321	CBE89_13020
	CBE89_04460
	CBE89_04325
	CBE89_07115
	CBE89_01485
	CBE89_10290
	CBE89_06545
	CBE89_06605
	CBE89_02210
	CBE89_03345
	CBE89_01595
	CBE89_02135
	CBE89_00535
	CBE89_04130
	CBE89_08415
	CBE89_04430
	CBE89_01105
	CBE89_10605
	CBE89_04500
	CBE89_11860
	CBE89_05515
	CBE89_08925
	CBE89_00330
GUANYL-KIN-RXN	CBE89_07600
	CBE89_09070
	CBE89_11435
	CBE89_11590
	CBE89_09375
	CBE89_09240
	CBE89_03735
	CBE89_05815
4.3.1.17-RXN // RXN-15125	CBE89_06105
	CBE89_01870
	CBE89_01970
RXN-15881 // RXN-12621 // RXN0-308 // RXN-21565 // RXN-21560 // RXN-14385 // RXN-14386 // RXN-14384	CBE89_08070
	CBE89_01030
	CBE89_10190
	CBE89_08300
	CBE89_11005
	CBE89_06360
	CBE89_09080
	CBE89_10065
	CBE89_08490
	CBE89_13190
	CBE89_00385
	CBE89_01900
	CBE89_07380
	CBE89_04220
	CBE89_05700
	CBE89_09185
	CBE89_06945
	CBE89_03930
	CBE89_03220
TREHALOSEPHOSPHA-RXN // RXN1G-1435 // RXN1G-1438 // RXN1G-1437 // RXN1G-1436 // RXN1G-1439	CBE89_02895
RXN0-2461	CBE89_10470
	CBE89_04260
RXN1G-121	CBE89_07260
	CBE89_02425
	CBE89_11635
2-DEHYDROPANTOATE-REDUCT-RXN	CBE89_02770
	CBE89_06390
	CBE89_10975
PSERTRANSAM-RXN // PSERTRANSAMPYR-RXN	CBE89_09610
ACETYL-COA-CARBOXYLTRANSFER-RXN	CBE89_07680
	CBE89_09735
RXN0-6274	CBE89_05965
	CBE89_08355
	CBE89_03020
